1,-50,0,-15,200.0,185,0
2,-50,0,-15,200.0,-15,0
1,-50,0,0,200.0,185,0
2,-50,0,0,200.0,0,0
1,-50,0,15,200.0,-50,0
2,-50,0,15,200.0,15,0
1,-33,0,-15,200.0,185,0
2,-33,0,-15,200.0,-15,0
1,-33,0,0,200.0,185,0
2,-33,0,0,200.0,0,0
1,-33,0,15,200.0,-185,0
2,-33,0,15,200.0,15,0
1,-16,0,-15,200.0,185,0
2,-16,0,-15,200.0,-15,0
1,-16,0,0,200.0,185,0
2,-16,0,0,200.0,0,0
1,-16,0,15,200.0,-185,0
2,-16,0,15,200.0,15,0
1,0,0,-15,200.0,185,0
2,0,0,-15,200.0,-15,0
1,0,0,0,200.0,185,0
2,0,0,0,200.0,0,0
1,0,0,15,200.0,-185,0
2,0,0,15,200.0,15,0
1,16,0,-15,200.0,185,0
2,16,0,-15,200.0,-15,0
1,16,0,0,200.0,185,0
2,16,0,0,200.0,0,0
1,16,0,15,200.0,-185,0
2,16,0,15,200.0,15,0
1,33,0,-15,200.0,185,0
2,33,0,-15,200.0,-15,0
1,33,0,0,200.0,185,0
2,33,0,0,200.0,0,0
1,33,0,15,200.0,-185,0
2,33,0,15,200.0,15,0
1,50,0,-15,200.0,50,0
2,50,0,-15,200.0,-15,0
1,50,0,0,200.0,185,0
2,50,0,0,200.0,0,0
1,50,0,15,200.0,-185,0
2,50,0,15,200.0,15,0
